Model,Accuracy,Sensitivity,Specificity,AUC
KNN,0.7963094393186657,0.5013404825737265,0.9025096525096525,0.8335679609138054
Random Forest,0.7913413768630234,0.46380697050938335,0.9092664092664092,0.8378287805231505
Logistic Regression,0.8211497515968772,0.5978552278820375,0.9015444015444015,0.8621748424027245
