Threshold,Total_Cost,Total_Savings,Net_Profit,Accuracy,Precision,Recall
0.1,104000,126349.99999999999,22349.999999999985,0.5550035486160397,0.37025641025641026,0.9652406417112299
0.15000000000000002,97900,123549.99999999999,25649.999999999985,0.6153300212916962,0.40389016018306634,0.9438502673796791
0.20000000000000004,96100,118649.99999999999,22549.999999999985,0.6579134137686302,0.4312977099236641,0.9064171122994652
0.25000000000000006,95000,115499.99999999999,20499.999999999985,0.6848828956706884,0.4520547945205479,0.8823529411764706
0.30000000000000004,96200,111650.0,15450.0,0.6997870830376153,0.4643377001455604,0.8529411764705882
0.3500000000000001,98200,107100.0,8900.0,0.7132718239886444,0.4766355140186916,0.8181818181818182
0.40000000000000013,97700,104650.0,6950.0,0.7317246273953159,0.49667774086378735,0.7994652406417112
0.45000000000000007,101200,98700.0,-2500.0,0.7430801987224982,0.5108695652173914,0.7540106951871658
0.5000000000000001,107000,91000.0,-16000.0,0.7487579843860894,0.52,0.6951871657754011
0.5500000000000002,109200,86450.0,-22750.0,0.7608232789212207,0.5404814004376368,0.660427807486631
0.6000000000000002,114000,79450.0,-34550.0,0.7693399574166075,0.5604938271604938,0.606951871657754
0.6500000000000001,118400,71750.0,-46650.0,0.7849538679914834,0.6047197640117994,0.5481283422459893
0.7000000000000002,121500,66850.0,-54650.0,0.7927608232789212,0.6366666666666667,0.5106951871657754
0.7500000000000002,131400,55300.0,-76100.0,0.7927608232789212,0.6752136752136753,0.42245989304812837
0.8000000000000002,143100,42700.0,-100400.0,0.7863733144073811,0.7134502923976608,0.32620320855614976
0.8500000000000002,154400,31149.999999999996,-123250.0,0.7764371894960965,0.7478991596638656,0.23796791443850268
