,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
SeniorCitizen,0.03848913104497763,-0.04888005635705935,0.09474995888058022,-0.11676644238680592,0.16220576418692262,-0.014665059519587426,-0.031266584636070634,0.024389286427570628,0.017597799209756775,-0.022424481752794448,-0.3098406645533306,0.2087983721072799,0.07493055796939294,0.11335511025659337,0.49137356783886194,0.3201753781294505,0.0799372251292339,0.627076186093953,-0.20325003526190516,-0.011920961724261795,0.0049286148990689985,0.0386379646555524,-0.00015411421803707858,4.7185543886761916e-17,-4.545778218184161e-17,0.0,0.0,-0.0,0.0,5.0794879153304865e-17
tenure,0.3332207661660097,0.614940595394603,-0.0653188866672252,-0.2091230712420997,0.2845708969864917,-0.021344452134505174,-0.08062012975168799,0.03892688158693572,-0.06959379998321324,0.0019362978124141403,-0.11609923295993627,-0.05172006529320143,-0.1333869852927167,-0.083477714582607,-0.13682007757024134,-0.013391875561261844,-0.0034696263709870128,-0.002649697384218963,-0.14953225629122227,-0.3107745008261933,0.08973769697168876,-0.42624793649936843,0.001114439785231353,-6.688359425547677e-17,1.390978010597718e-16,-2.067243248319201e-15,-3.0791805027411875e-15,2.197349466744885e-15,2.8189680658898194e-15,-7.247828278148952e-16
MonthlyCharges,0.5020869498247126,-0.2758211873319385,0.30543609220014933,0.13464007369765071,-0.23240994407079082,0.02230749853496098,-0.007154628855400739,-0.03250252706811984,-0.0008844342443207443,-0.041573594910953277,0.06277688023663491,0.02525679086373432,-0.10432485089788356,0.011749604292643564,0.026457421539270977,0.012111787195871799,-0.003179225900686462,0.003610841502742767,0.025238840495598883,-0.22296823637445612,0.04706870553129152,-0.10958280351839537,0.6496286343136514,2.0576397396624425e-13,-2.1670289785288047e-13,1.344534578084061e-13,1.8558951016481722e-13,-1.5135104409088316e-13,-1.6997026271236745e-13,2.315479089055411e-13
TotalCharges,0.490802775735857,0.34018189442019353,0.08193525077932835,-0.09619939581271073,-0.06859358273786707,0.024510679893157573,0.012765912060097424,0.0960989675921933,-0.09237828016608468,0.08645943083889504,-0.006722460701941324,0.038985449361929346,-0.10524906444089834,0.0031029173027976088,-0.01549065291204987,-0.0165766418138262,-0.005989290468045915,0.04278190770665689,0.15078124010913285,0.6313368099468635,-0.13499737442998455,0.37699851542868196,-0.0014530383071115764,-2.87919136804873e-17,-7.448342321586882e-17,1.4431909378696988e-15,2.1903559265485934e-15,-1.3707997621087823e-15,-1.998293751866629e-15,7.395240514994297e-16
gender_Male,-0.0025606069354933395,0.004594681770825298,-0.007991442717779042,-0.01079022325398892,0.09491152620797137,0.9907236836555434,-0.02165920302312862,-0.06578159450546743,0.03519338756365894,0.013951823217874264,0.03736915573724806,7.339898562346716e-05,0.011491166098104978,0.004316868394072724,0.033144094259355814,0.0013677436568876643,-0.001413640718482397,-0.009414803502492687,0.00493914147349729,-0.013973994098236606,-0.007839832096939931,-0.0011309170028710525,-0.0005178630182215055,-2.377028290605795e-16,2.474161327454021e-16,-4.7745781209794086e-15,-6.94156368967063e-15,5.4597593999365325e-15,6.204795414297979e-15,-3.550672344205622e-16
Partner_Yes,0.06782836181173876,0.14898577769808788,-0.034476736641306745,0.6610773682483612,0.2712426033647518,-0.025519599454420464,-0.026737695399291096,0.058861105973890715,0.045784918870864576,0.0025775531174978992,-0.20929323070783074,0.10433106522612644,0.027949719683055426,0.09550135092267455,0.3028448357287265,0.2816073532351152,0.025311756840818243,-0.46134454829303895,0.06737025763545276,0.023401432311097512,0.01441584861964436,0.010090935704008293,0.0009298728034517618,2.244077365763549e-16,-2.7275917337509087e-16,-3.609821734608219e-16,-5.60729779291331e-16,4.90584576169628e-16,4.935671573318193e-16,3.1178950388203103e-16
Dependents_Yes,-0.0064233949104045744,0.11277375841406156,-0.09436571841870396,0.6588540954553888,0.07603465278553576,0.009002786299286721,-0.006954997303743483,0.02618989398164518,0.052837412049680295,0.032362776066966956,0.15321358406269747,-0.04708949325141096,-0.025371030733530437,-0.08467147991551506,-0.2972860793013438,-0.24495984420752034,-0.05379221611942259,0.5859614984391452,-0.05079872842258028,0.03580020553723816,-0.02871964848109106,-0.03147595931603007,-0.00039928394729348953,4.00126855493366e-17,1.966971208471549e-17,7.040656638330895e-16,1.0375637077552197e-15,-8.88930035948441e-16,-9.559936143724794e-16,4.13118944856881e-17
PhoneService_Yes,0.011643878695725212,0.01010995135837928,0.27836539259049203,0.08618158589627661,-0.17930664132417048,0.017279112254966714,-0.1804620089794364,0.02824240042875952,-0.038351996026253325,0.004607280285286472,0.14558897511449198,-0.08326813823019891,-0.11966008395371941,0.09631396390334145,-0.000976024735109315,0.07708480125183646,-0.004749704835119689,-0.08279962481157087,-0.481508115583993,0.0594937708518314,-0.0006188188559680299,-0.026508374552035415,-0.21657166011052478,0.10500027439595706,0.49401182716601383,-0.2998774687992545,-0.29211181434113576,0.22962922140800052,0.06044697042145839,0.1152737310418516
MultipleLines_No phone service,-0.011643878695725201,-0.010109951358379285,-0.27836539259049214,-0.08618158589627657,0.1793066413241702,-0.017279112254977,0.18046200897944364,-0.028242400428757752,0.0383519960262579,-0.004607280285292921,-0.1455889751144897,0.08326813823019819,0.11966008395372194,-0.09631396390333691,0.0009760247351147586,-0.077084801251845,0.004749704835112666,0.08279962481157249,0.4815081155839939,-0.05949377085182452,0.0006188188559687473,0.02650837455203667,0.21657166011113776,0.10500027439609438,0.4940118271658693,-0.29987746879916244,-0.2921118143410088,0.2296292214078971,0.06044697042134209,0.11527373104200651
MultipleLines_Yes,0.13771805996170258,0.03348047692594727,0.3000700252572835,0.02798509501765926,-0.009664358578584083,-0.008410535865642159,-0.31122597516816103,-0.06869264432748512,-0.05028214583219907,-0.004379649378349423,-0.14818051532284093,-0.30066405538671986,0.7868492288791438,-0.13016099113607127,-0.02894501648508497,-0.09470841997213184,0.01103000384337276,0.007092747979577985,0.11560399800312111,-0.03350569971258324,0.01503451858683737,0.005992906190984772,-0.10787697550702523,-3.423852328261521e-14,3.617168491876966e-14,-2.276038126136043e-14,-3.153131547485882e-14,2.5638282721785954e-14,2.8831010191503826e-14,-3.854651845061933e-14
