,tenure,MonthlyCharges,TotalCharges
count,7043.0,7043.0,7043.0
mean,-1.9168411159224625e-17,-6.204512033117444e-17,-1.4628524305724057e-17
std,1.0000710000355943,1.0000710000355904,1.0000710000355915
min,-1.318164947398796,-1.54585982007346,-0.999120286502898
25%,-0.9516816739185228,-0.9725398550161476,-0.8298459149110684
50%,-0.1372743995179157,0.1857326540996401,-0.3904631977518628
75%,0.9214550572028734,0.8338334841644282,0.664287100296856
max,1.6137012404433893,1.7943521502604476,2.826743191921293
