Model,Type,Accuracy,Precision,Recall,F1-Score,AUC,Specificity
Logistic Regression,Baseline,0.8211497515968772,0.6861538461538461,0.5978552278820375,0.6389684813753581,0.8621748424027245,0.9015444015444015
Random Forest (Tuned),Optimized,0.8048261178140526,,,,0.8433723423493245,
Random Forest,Baseline,0.7913413768630234,0.6479400749063671,0.46380697050938335,0.5406249999999999,0.8378287805231505,0.9092664092664092
KNN,Baseline,0.7963094393186657,0.6493055555555556,0.5013404825737265,0.5658093797276854,0.8335679609138054,0.9025096525096525
Gradient Boosting,Advanced,0.7487579843860894,0.52,0.6951871657754011,0.5949656750572082,0.8289958407605466,0.7681159420289855
